23	Over-aspected Crystal	20	20	20	34	34	34	1	2	4	35
54	Chanterelle Saute	1	1	1	0	0	0	44	3	22	7
55	Chicken and Mushrooms	10	10	10	4	4	4	44	3	22	19
56	Forest Miq'abob	10	10	10	7	7	6	44	3	22	30
57	Raptor Stew	10	10	10	10	11	9	44	3	22	39
58	Button Mushroom Saute	10	10	10	13	13	11	44	3	22	44
59	Buttons in a Blanket	10	10	10	16	15	13	44	3	27	50
60	Black Truffle Risotto	10	10	10	17	19	14	44	3	27	70
61	Orange Juice	1	1	1	0	0	0	6	3	22	6
62	Grape Juice	10	10	10	4	4	4	6	3	46	20
63	Chamomile Tea	10	10	10	5	5	5	6	3	46	24
64	Apple Juice	10	10	10	10	11	9	6	3	46	40
65	Mulled Tea	10	10	10	14	15	13	6	3	46	49
66	Pineapple Juice	10	10	10	17	19	14	6	3	46	70
67	Triple Cream Coffee	10	10	10	22	25	17	6	3	44	110
68	Raisins	10	1	1	3	0	0	46	3	22	3
69	Bubble Chocolate	10	10	10	5	2	3	46	3	22	11
70	Pearl Chocolate	10	10	10	5	3	3	46	3	27	12
71	Dried Plums	10	10	10	8	5	4	46	3	22	21
72	Ginger Cookie	10	10	10	9	6	5	46	3	44	25
73	Crumpet	10	10	10	11	7	5	46	3	6	28
74	Pastry Fish	10	10	10	17	11	9	46	3	6	40
75	Pineapple Ponzecake	10	10	10	27	19	14	46	3	6	70
76	Sachertorte	10	10	10	30	23	16	46	3	44	90
114	Flatbread	10	1	1	3	0	0	19	3	22	5
115	Walnut Bread	10	10	10	6	4	3	19	3	22	17
116	Honey Muffin	10	10	10	8	5	4	19	3	22	21
117	Dark Pretzel	10	10	10	9	5	4	19	3	27	23
118	Cornbread	10	10	10	12	7	6	19	3	45	30
119	Acorn Cookie	10	10	10	13	8	7	19	3	22	33
120	Knight's Bread	10	10	10	16	10	8	19	3	45	38
121	La Noscean Toast	10	10	10	23	14	12	19	3	22	47
122	Finger Sandwich	10	10	10	27	19	14	19	3	22	70
123	Popoto Pancakes	10	10	10	30	23	16	19	3	22	90
124	Bacon Bread	10	10	10	33	28	17	19	3	27	110
133	Braised Pipira	10	1	1	4	0	0	22	3	45	7
134	Tree Toad Legs	10	1	1	4	0	0	22	3	46	7
135	Boiled Crayfish	10	10	1	4	2	0	22	3	46	8
136	Grilled Trout	10	10	1	4	2	0	22	3	27	8
137	Grilled Carp	10	10	10	6	3	3	22	3	45	15
138	Grilled Warmwater Trout	10	10	10	7	4	4	22	3	45	20
139	Salmon Meuniere	10	10	10	9	5	4	22	3	27	23
140	Mugwort Carp	10	10	10	16	10	8	22	3	27	38
141	Grilled Raincaller	10	10	10	17	11	9	22	3	45	40
142	Stuffed Cabbage	10	10	10	21	13	11	22	3	27	45
143	Lava Toad Legs	10	10	10	27	19	14	22	3	27	70
144	Steamed Catfish	10	10	10	30	23	16	22	3	27	90
145	Flint Caviar	10	10	10	33	28	17	27	3	22	110
146	Marmot Steak	10	1	1	3	0	0	45	3	22	5
147	Grilled Dodo	10	10	10	5	2	3	45	3	22	11
148	Mole Loaf	10	10	10	5	3	3	45	3	27	12
